Item,Price,Stats,Type,Weight,Special
Robes,1,"{""NA"":""NA""}",Adventuring Gear,4 lb.,N/A
"Rope, hempen (50 feet)",1,"{""NA"":""NA""}",Adventuring Gear,10 lb.,N/A
"Rope, silk (50 feet)",10,"{""NA"":""NA""}",Adventuring Gear,5 lb.,N/A
Sack,0.01,"{""NA"":""NA""}",Adventuring Gear,0.5 lb.,N/A
"Scale, merchants",5,"{""NA"":""NA""}",Adventuring Gear,3 lb.,N/A
Sealing wax,0.5,"{""NA"":""NA""}",Adventuring Gear,0 lb.,N/A
Shovel,2,"{""NA"":""NA""}",Adventuring Gear,5 lb.,N/A
Signal whistle,0.05,"{""NA"":""NA""}",Adventuring Gear,0 lb.,N/A
Signet ring,5,"{""NA"":""NA""}",Adventuring Gear,0 lb.,N/A
Soap,0.02,"{""NA"":""NA""}",Adventuring Gear,0 lb.,N/A
Spellbook,50,"{""NA"":""NA""}",Adventuring Gear,3 lb.,N/A
"Spikes, iron (10)",1,"{""NA"":""NA""}",Adventuring Gear,5 lb.,N/A
Spyglass,1000,"{""NA"":""NA""}",Adventuring Gear,1 lb.,N/A
"Tent, two-person",2,"{""NA"":""NA""}",Adventuring Gear,2 0 lb.,N/A
Tinderbox,0.5,"{""NA"":""NA""}",Adventuring Gear,1 lb.,N/A
Torch,0.01,"{""NA"":""NA""}",Adventuring Gear,1 lb.,N/A
Vial,1,"{""NA"":""NA""}",Adventuring Gear,0 lb.,N/A
Waterskin,0.2,"{""NA"":""NA""}",Adventuring Gear,5 lb. (full),N/A
Whetstone,0.01,"{""NA"":""NA""}",Adventuring Gear,1 lb.,N/A
Alchemists supplies,50,"{""NA"":""NA""}",Tool,8 lb.,N/A
Brewers supplies,20,"{""NA"":""NA""}",Tool,9 lb.,N/A
Calligraphers supplies,10,"{""NA"":""NA""}",Tool,5 lb.,N/A
Carpenters tools,8,"{""NA"":""NA""}",Tool,6 lb.,N/A
Cartographers tools,15,"{""NA"":""NA""}",Tool,6 lb.,N/A
Cobblers tools,5,"{""NA"":""NA""}",Tool,5 lb.,N/A
Cooks utensils,1,"{""NA"":""NA""}",Tool,8 lb.,N/A
Glassblowers tools,30,"{""NA"":""NA""}",Tool,5 lb.,N/A
Jewelers tools,25,"{""NA"":""NA""}",Tool,2 lb.,N/A
Leatherworkers tools,5,"{""NA"":""NA""}",Tool,5 lb.,N/A
Masons tools,10,"{""NA"":""NA""}",Tool,8 lb.,N/A
Painters supplies,10,"{""NA"":""NA""}",Tool,5 lb.,N/A
Potters tools,10,"{""NA"":""NA""}",Tool,3 lb.,N/A
Smiths tools,20,"{""NA"":""NA""}",Tool,8 lb.,N/A
Tinkers tools,50,"{""NA"":""NA""}",Tool,10 lb.,N/A
Weavers tools,1,"{""NA"":""NA""}",Tool,5 lb.,N/A
Woodcarvers tools,1,"{""NA"":""NA""}",Tool,5 lb.,N/A
Disguise kit,25,"{""NA"":""NA""}",Taboo,3 lb.,N/A
Forgery kit,15,"{""NA"":""NA""}",Taboo,5 lb.,N/A
Dice set,0.1,"{""NA"":""NA""}",Tool,0 lb.,N/A
Dragonchess set,1,"{""NA"":""NA""}",Tool,0.5 lb.,N/A
Playing card set,0.5,"{""NA"":""NA""}",Tool,0 lb.,N/A
Three-Dragon Ante set,1,"{""NA"":""NA""}",Tool,0 lb.,N/A
Herbalism kit,5,"{""NA"":""NA""}",Tool,3 lb.,N/A
Bagpipes,30,"{""NA"":""NA""}",Tool,6 lb.,N/A
Drum,6,"{""NA"":""NA""}",Tool,3 lb.,N/A
Dulcimer,25,"{""NA"":""NA""}",Tool,10 lb.,N/A
Flute,2,"{""NA"":""NA""}",Tool,1 lb.,N/A
Lute,35,"{""NA"":""NA""}",Tool,2 lb.,N/A
Lyre,30,"{""NA"":""NA""}",Tool,2 lb.,N/A
Horn,3,"{""NA"":""NA""}",Tool,2 lb.,N/A
Pan flute,12,"{""NA"":""NA""}",Tool,2 lb.,N/A
Shawm,2,"{""NA"":""NA""}",Tool,1 lb.,N/A
Viol,30,"{""NA"":""NA""}",Tool,1 lb.,N/A
Navigators tools,25,"{""NA"":""NA""}",Tool,2 lb.,N/A
Poisoners kit,50,"{""NA"":""NA""}",Taboo,2 lb.,N/A
Thieves tools,25,"{""NA"":""NA""}",Taboo,1 lb.,N/A
Wheat Bag,0.01,"{""NA"":""NA""}",Trade Good,1 lb.,N/A
Flour Bag,0.02,"{""NA"":""NA""}",Trade Good,1 lb.,N/A
1 Chicken,0.02,"{""NA"":""NA""}",Trade Good,5 lb.,N/A
Bar of Salt,0.05,"{""NA"":""NA""}",Trade Good,1 lb.,N/A
Iron Ingot,0.1,"{""NA"":""NA""}",Trade Good,1 lb.,N/A
Copper Ingot,0.5,"{""NA"":""NA""}",Trade Good,1 lb. ,N/A
Cotton Cloth Roll,0.5,"{""NA"":""NA""}",Trade Good,1 lb.,N/A
Ginger Bag,1,"{""NA"":""NA""}",Trade Good,1 lb.,N/A
1 Goat,1,"{""NA"":""NA""}",Trade Good,150 lb.,N/A
Cinnamon Bag,2,"{""NA"":""NA""}",Trade Good,1 lb.,N/A
Pepper Bag,2,"{""NA"":""NA""}",Trade Good,1 lb.,N/A
1 Sheep,2,"{""NA"":""NA""}",Trade Good,150 lb.,N/A
Cloves Bag,3,"{""NA"":""NA""}",Trade Good,1 lb.,N/A
1 Pig,3,"{""NA"":""NA""}",Trade Good,300 lb.,N/A
Silver Ingot,5,"{""NA"":""NA""}",Trade Good,1 lb.,N/A
Linen Cloth Roll,5,"{""NA"":""NA""}",Trade Good,1 lb.,N/A
Silk Cloth Roll,10,"{""NA"":""NA""}",Trade Good,1 lb.,N/A
1 Cow,10,"{""NA"":""NA""}",Trade Good,500 lb.,N/A
Saffron Bag,15,"{""NA"":""NA""}",Trade Good,1 lb.,N/A
1 Ox,15,"{""NA"":""NA""}",Trade Good,"1,000 lb. ",N/A
Gold Ingot,50,"{""NA"":""NA""}",Trade Good,1 lb.,N/A
Platinum Ingot,500,"{""NA"":""NA""}",Trade Good,1 lb.,N/A
Bag of Incence,10,"{""NA"":""NA""}",Trade Good,1 lb.,N/A
Bag of Pipeweed,1,"{""NA"":""NA""}",Trade Good,1 lb.,N/A
Bag of Coffee,35,"{""NA"":""NA""}",Trade Good,1 lb.,N/A
Bottle of Oils,15,"{""NA"":""NA""}",Trade Good,1 lb.,N/A
Bag of Herbs,5,"{""NA"":""NA""}",Trade Good,1 lb.,N/A
Bottle of Olives,5,"{""NA"":""NA""}",Trade Good,1 lb.,N/A
Rug,5,"{""NA"":""NA""}",Trade Good,1 lb.,N/A
Bag of Spices,15,"{""NA"":""NA""}",Trade Good,1 lb.,N/A
Bag of Sugar,10,"{""NA"":""NA""}",Trade Good,1 lb.,N/A
"Ale, Gallon Keg",0.2,"{""NA"":""NA""}",Food,5 lb.,N/A
"Ale, Bottle",0.04,"{""NA"":""NA""}",Food,1 lb.,N/A
"Bread, loaf",0.02,"{""NA"":""NA""}",Food,1 lb.,N/A
"Cheese, hunk",0.1,"{""NA"":""NA""}",Food,1 lb.,N/A
"Meat, chunk",0.3,"{""NA"":""NA""}",Food,1 lb.,N/A
"Wine Bottle, Common",0.2,"{""NA"":""NA""}",Food,1 lb.,N/A
"Wine Bottle, Fine",10,"{""NA"":""NA""}",Food,1 lb.,N/A
Squalid Meal,0.03,"{""NA"":""NA""}",Food,1 lb.,N/A
Poor Meal,0.06,"{""NA"":""NA""}",Food,1 lb.,N/A
Modest Meal,0.3,"{""NA"":""NA""}",Food,1 lb.,N/A
Comfortable Meal,0.5,"{""NA"":""NA""}",Food,1 lb.,N/A
Wealthy Meal,0.8,"{""NA"":""NA""}",Food,1 lb.,N/A
Aristocratic Meal,2,"{""NA"":""NA""}",Food,1 lb.,N/A
Banquet (per person),10,"{""NA"":""NA""}",Food,1 lb.,N/A
Squalid (Room),0.7,"{""NA"":""NA""}",Room,"{""NA"":""NA""}",N/A
Poor (Room),0.1,"{""NA"":""NA""}",Room,"{""NA"":""NA""}",N/A
Modest (Room),0.5,"{""NA"":""NA""}",Room,"{""NA"":""NA""}",N/A
Comfortable (Room),0.8,"{""NA"":""NA""}",Room,"{""NA"":""NA""}",N/A
Wealthy (Room),2,"{""NA"":""NA""}",Room,"{""NA"":""NA""}",N/A
Aristocratic (Room),4,"{""NA"":""NA""}",Room,"{""NA"":""NA""}",N/A
Broken Padded Armor,5,"{""NA"":""NA""}",Junk,8 lb.,N/A
Broken Leather Armor,10,"{""NA"":""NA""}",Junk,10 lb.,N/A
Broken Studded Leather Armor,45,"{""NA"":""NA""}",Junk,13 lb.,N/A
Broken Hide Armor,10,"{""NA"":""NA""}",Junk,12 lb.,N/A
Broken Chain shirt Armor,50,"{""NA"":""NA""}",Junk,20 lb.,N/A
Broken Scale mail Amor,50,"{""NA"":""NA""}",Junk,45 lb.,N/A
Broken Breastplate Amor,80,"{""NA"":""NA""}",Junk,20 lb.,N/A
Broken Half plate Armor,150,"{""NA"":""NA""}",Junk,40 lb.,N/A
Broken Ring mail Armor,8,"{""NA"":""NA""}",Junk,40 lb.,N/A
Broken Chain mail Armor,20,"{""NA"":""NA""}",Junk,55 lb.,N/A
Broken Splint mail Armor,40,"{""NA"":""NA""}",Junk,60 lb.,N/A
Broken Plate mail Armor,300,"{""NA"":""NA""}",Junk,65 lb.,N/A
Broken Shield,2,"{""NA"":""NA""}",Junk,6 lb.,N/A
Broken Club,0.02,"{""NA"":""NA""}",Junk,2 lb.,N/A
Broken Dagger,0.04,"{""NA"":""NA""}",Junk,1 lb.,N/A
Broken Greatclub,0.04,"{""NA"":""NA""}",Junk,10 lb.,N/A
Broken Handaxe,1,"{""NA"":""NA""}",Junk,2 lb.,N/A
Broken Javelin,0.1,"{""NA"":""NA""}",Junk,2 lb.,N/A
Broken Light hammer,0.04,"{""NA"":""NA""}",Junk,2 lb.,N/A
Broken Mace,1,"{""NA"":""NA""}",Junk,4 lb.,N/A
Broken Quarterstaff,0.03,"{""NA"":""NA""}",Junk,4 lb.,N/A
Broken Sickle,0.2,"{""NA"":""NA""}",Junk,2 lb.,N/A
Broken Spear,0.2,"{""NA"":""NA""}",Junk,2 lb.,N/A
"Broken Crossbow, light",5,"{""NA"":""NA""}",Junk,5 lb.,N/A
Broken Dart,0.01,"{""NA"":""NA""}",Junk,0.25 lb.,N/A
Broken Shortbow,5,"{""NA"":""NA""}",Junk,2 lb.,N/A
Broken Sling,0.02,"{""NA"":""NA""}",Junk,0 lb.,N/A
Broken Battleaxe,2,"{""NA"":""NA""}",Junk,4 lb.,N/A
Broken Flail,2,"{""NA"":""NA""}",Junk,2 lb,N/A
Broken Glaive,4,"{""NA"":""NA""}",Junk,6 lb.,N/A
Broken Greataxe,5,"{""NA"":""NA""}",Junk,7 lb.,N/A
Broken Greatsword,10,"{""NA"":""NA""}",Junk,6 lb.,N/A
Broken Halberd,4,"{""NA"":""NA""}",Junk,6 lb.,N/A
Broken Lance,2,"{""NA"":""NA""}",Junk,6 lb.,N/A
Broken Longsword,3,"{""NA"":""NA""}",Junk,3 lb.,N/A
Broken Maul,2,"{""NA"":""NA""}",Junk,10 lb.,N/A
Broken Morningstar,3,"{""NA"":""NA""}",Junk,4 lb.,N/A
Broken Pike,1,"{""NA"":""NA""}",Junk,18 lb.,N/A
Broken Rapier,5,"{""NA"":""NA""}",Junk,2 lb.,N/A
Broken Scimitar,5,"{""NA"":""NA""}",Junk,3 lb.,N/A
Broken Shortsword,2,"{""NA"":""NA""}",Junk,2 lb.,N/A
Broken Trident,1,"{""NA"":""NA""}",Junk,4 lb.,N/A
Broken War pick,1,"{""NA"":""NA""}",Junk,2 lb.,N/A
Broken Warhammer,3,"{""NA"":""NA""}",Junk,2 lb.,N/A
Broken Whip,0.4,"{""NA"":""NA""}",Junk,3 lb.,N/A
Broken Blowgun,2,"{""NA"":""NA""}",Junk,1 lb.,N/A
"Broken Crossbow, hand",15,"{""NA"":""NA""}",Junk,3 lb.,N/A
"Broken Crossbow, heavy",10,"{""NA"":""NA""}",Junk,18 lb.,N/A
Broken Longbow,10,"{""NA"":""NA""}",Junk,2 lb.,N/A
Broken Net,0.2,"{""NA"":""NA""}",Junk,3 lb.,N/A
Clay Jug,0.01,"{""NA"":""NA""}",Junk,0.5 lb,N/A
Clay Cup,0.01,"{""NA"":""NA""}",Junk,0.5 lb,N/A
Clay Goblet,0.01,"{""NA"":""NA""}",Junk,0.5 lb,N/A
Clay Pot,0.01,"{""NA"":""NA""}",Junk,0.5 lb,N/A
Clay Plate,0.01,"{""NA"":""NA""}",Junk,0.5 lb,N/A
Clay Platter ,0.01,"{""NA"":""NA""}",Junk,0.5 lb,N/A
Clay Bowl,0.01,"{""NA"":""NA""}",Junk,0.5 lb,N/A
Clay Kettle,0.01,"{""NA"":""NA""}",Junk,0.5 lb,N/A
Clay Ladle,0.01,"{""NA"":""NA""}",Junk,0.5 lb,N/A
Clay Tankard,0.01,"{""NA"":""NA""}",Junk,0.5 lb,N/A
Clay Flagon,0.01,"{""NA"":""NA""}",Junk,0.5 lb,N/A
Clay Candlestick,0.03,"{""NA"":""NA""}",Junk,0.5 lb,N/A
Pewter Jug ,0.05,"{""NA"":""NA""}",Junk,0.5 lb,N/A
Pewter Cup,0.05,"{""NA"":""NA""}",Junk,0.5 lb,N/A
Pewter Goblet,0.05,"{""NA"":""NA""}",Junk,0.5 lb,N/A
Pewter Pot,0.05,"{""NA"":""NA""}",Junk,0.5 lb,N/A
Pewter Plate ,0.05,"{""NA"":""NA""}",Junk,0.5 lb,N/A
Pewter Platter,0.05,"{""NA"":""NA""}",Junk,0.5 lb,N/A
Pewter Bowl,0.05,"{""NA"":""NA""}",Junk,0.5 lb,N/A
Pewter Kettle,0.03,"{""NA"":""NA""}",Junk,0.5 lb,N/A
Pewter Ladle,0.03,"{""NA"":""NA""}",Junk,0.5 lb,N/A
Pewter Tankard,0.03,"{""NA"":""NA""}",Junk,0.5 lb,N/A
Pewter Flagon,0.03,"{""NA"":""NA""}",Junk,0.5 lb,N/A
Pewter Candlestick,0.05,"{""NA"":""NA""}",Junk,0.5 lb,N/A
Pewter Knife,0.03,"{""NA"":""NA""}",Junk,0.5 lb,N/A
Pewter Fork,0.03,"{""NA"":""NA""}",Junk,0.5 lb,N/A
Silver Jug,1,"{""NA"":""NA""}",Junk,0.5 lb,N/A
Silver Cup,1,"{""NA"":""NA""}",Junk,0.5 lb,N/A
Silver Goblet,1,"{""NA"":""NA""}",Junk,0.5 lb,N/A
Silver Pot,1,"{""NA"":""NA""}",Junk,0.5 lb,N/A
Silver Plate,1,"{""NA"":""NA""}",Junk,0.5 lb,N/A
Silver Platter,1,"{""NA"":""NA""}",Junk,0.5 lb,N/A
Silver Bowl,1,"{""NA"":""NA""}",Junk,0.5 lb,N/A
Steel Kettle,1,"{""NA"":""NA""}",Junk,0.5 lb,N/A
Silver Ladle,1,"{""NA"":""NA""}",Junk,0.5 lb,N/A
Silver Tankard,1,"{""NA"":""NA""}",Junk,0.5 lb,N/A
Silver Flagon,1,"{""NA"":""NA""}",Junk,0.5 lb,N/A
Silver Candlestick,5,"{""NA"":""NA""}",Junk,0.5 lb,N/A
Silver Knife,1,"{""NA"":""NA""}",Junk,0.5 lb,N/A
Silver Fork,1,"{""NA"":""NA""}",Junk,0.5 lb,N/A
Wood Jug,0.01,"{""NA"":""NA""}",Junk,0.5 lb,N/A
Wood Cup,0.01,"{""NA"":""NA""}",Junk,0.5 lb,N/A
Wood Goblet,0.01,"{""NA"":""NA""}",Junk,0.5 lb,N/A
Wood Pot,0.01,"{""NA"":""NA""}",Junk,0.5 lb,N/A
Stone Plate,0.01,"{""NA"":""NA""}",Junk,0.5 lb,N/A
Stone Platter,0.01,"{""NA"":""NA""}",Junk,0.5 lb,N/A
Wood Bowl,0.01,"{""NA"":""NA""}",Junk,0.5 lb,N/A
Wooden Kettle,0.03,"{""NA"":""NA""}",Junk,0.5 lb,N/A
Wooden Ladle,0.01,"{""NA"":""NA""}",Junk,0.5 lb,N/A
Wood Tankard,0.01,"{""NA"":""NA""}",Junk,0.5 lb,N/A
Wood Flagon,0.01,"{""NA"":""NA""}",Junk,0.5 lb,N/A
Wood Candlestick,0.03,"{""NA"":""NA""}",Junk,0.5 lb,N/A
Iron Jug,0.1,"{""NA"":""NA""}",Junk,0.5 lb,N/A
Iron Cup,0.1,"{""NA"":""NA""}",Junk,0.5 lb,N/A
Iron Goblet,0.1,"{""NA"":""NA""}",Junk,0.5 lb,N/A
Iron Pot,0.1,"{""NA"":""NA""}",Junk,0.5 lb,N/A
Iron Plate,0.1,"{""NA"":""NA""}",Junk,0.5 lb,N/A
Iron Platter,0.1,"{""NA"":""NA""}",Junk,0.5 lb,N/A
Iron Bowl,0.1,"{""NA"":""NA""}",Junk,0.5 lb,N/A
Iron Kettle,0.1,"{""NA"":""NA""}",Junk,0.5 lb,N/A
Iron Ladle,0.1,"{""NA"":""NA""}",Junk,0.5 lb,N/A
Iron Tankard,0.1,"{""NA"":""NA""}",Junk,0.5 lb,N/A
Iron Flagon,0.1,"{""NA"":""NA""}",Junk,0.5 lb,N/A
Iron Candlestick,0.5,"{""NA"":""NA""}",Junk,0.5 lb,N/A
Iron Knife,0.1,"{""NA"":""NA""}",Junk,0.5 lb,N/A
Iron Fork,0.1,"{""NA"":""NA""}",Junk,0.5 lb,N/A
Gold Jug,100,"{""NA"":""NA""}",Junk,0.5 lb,N/A
Gold Cup,50,"{""NA"":""NA""}",Junk,0.5 lb,N/A
Gold Goblet,50,"{""NA"":""NA""}",Junk,0.5 lb,N/A
Gold Pot,100,"{""NA"":""NA""}",Junk,0.5 lb,N/A
Gold Plate,50,"{""NA"":""NA""}",Junk,0.5 lb,N/A
Gold Platter,100,"{""NA"":""NA""}",Junk,0.5 lb,N/A
Gold Bowl,100,"{""NA"":""NA""}",Junk,0.5 lb,N/A
Fine Steel Kettle,5,"{""NA"":""NA""}",Junk,0.5 lb,N/A
Fine Steel Ladle,5,"{""NA"":""NA""}",Junk,0.5 lb,N/A
Fine Silver Tankard,5,"{""NA"":""NA""}",Junk,0.5 lb,N/A
Fine Silver Flagon,5,"{""NA"":""NA""}",Junk,0.5 lb,N/A
Gold Candlestick,50,"{""NA"":""NA""}",Junk,0.5 lb,N/A
Fine Silver Knife,5,"{""NA"":""NA""}",Junk,0.5 lb,N/A
Fine Silver Fork,5,"{""NA"":""NA""}",Junk,0.5 lb,N/A
Cow Hide,0.5,"{""NA"":""NA""}",Junk,3 lb,N/A
Goat Hide,0.4,"{""NA"":""NA""}",Junk,3 lb,N/A
Horse Hide,0.4,"{""NA"":""NA""}",Junk,3 lb,N/A
Deer Hide,0.5,"{""NA"":""NA""}",Junk,3 lb,N/A
Boar Tusk,0.5,"{""NA"":""NA""}",Junk,3 lb.,N/A
Goat Horns,0.5,"{""NA"":""NA""}",Junk,3 lb.,N/A
Bear Pelt,10,"{""NA"":""NA""}",Junk,5 lb.,N/A
Fox Pelt,10,"{""NA"":""NA""}",Junk,3 lb.,N/A
Wolf Pelt,5,"{""NA"":""NA""}",Junk,3 lb.,N/A
Sabre Cat Pelt,20,"{""NA"":""NA""}",Junk,3 lb.,N/A
Troll Hide,50,"{""NA"":""NA""}",Junk,5 lb.,N/A
Mammoth Tusk,100,"{""NA"":""NA""}",Junk,20 lb.,N/A
Azurite,10,"{""NA"":""NA""}",Gemstone,0 lb,N/A
Banded agate ,10,"{""NA"":""NA""}",Gemstone,0 lb,N/A
Blue quartz ,10,"{""NA"":""NA""}",Gemstone,0 lb,N/A
Eye agate ,10,"{""NA"":""NA""}",Gemstone,0 lb,N/A
Hematite ,10,"{""NA"":""NA""}",Gemstone,0 lb,N/A
Lapis lazuli,10,"{""NA"":""NA""}",Gemstone,0 lb,N/A
Malachite,10,"{""NA"":""NA""}",Gemstone,0 lb,N/A
Moss agate,10,"{""NA"":""NA""}",Gemstone,0 lb,N/A
Obsidian,10,"{""NA"":""NA""}",Gemstone,0 lb,N/A
Rhodochrosite,10,"{""NA"":""NA""}",Gemstone,0 lb,N/A
