Spell,Level
Drawmij’s Instant Summons (Ritual)(Open in new window),6
Dream(Open in new window),5
Dust Devil(Open in new window),2
Earth Tremor(Open in new window),1
Earthbind(Open in new window),2
Elemental Bane(Open in new window),4
Enlarge/Reduce(Open in new window),2
Erupting Earth(Open in new window),3
Etherealness(Open in new window),7
Evard’s Black Tentacles(Open in new window),4
Expeditious Retreat(Open in new window),1
Eyebite(Open in new window),6
Fabricate(Open in new window),4
False Life(Open in new window),1
Fear(Open in new window),3
Feather Fall(Open in new window),1
Feeblemind(Open in new window),8
Feign Death (Ritual)(Open in new window),3
Find Familiar (Ritual)(Open in new window),1
Finger of Death(Open in new window),7
Fire Bolt(Open in new window),0
Fire Shield(Open in new window),4
Fireball(Open in new window),3
Flame Arrows(Open in new window),3
Flaming Sphere(Open in new window),2
Flesh to Stone(Open in new window),6
Fly(Open in new window),3
Fog Cloud(Open in new window),1
Forcecage(Open in new window),7
Foresight(Open in new window),9
Friends(Open in new window),0
Frostbite(Open in new window),0
Gaseous Form(Open in new window),3
Gate(Open in new window),9
Geas(Open in new window),5
Gentle Repose (Ritual)(Open in new window),2
Globe of Invulnerability(Open in new window),6
Glyph of Warding(Open in new window),3
Grease(Open in new window),1
Greater Invisibility(Open in new window),4
Green-Flame Blade(Open in new window),0
Guards and Wards(Open in new window),6
Gust(Open in new window),0
Gust of Wind(Open in new window),2
Hallucinatory Terrain(Open in new window),4
Haste(Open in new window),3
Hold Monster(Open in new window),5
Hold Person(Open in new window),2
Hypnotic Pattern(Open in new window),3
Ice Knife(Open in new window),1
Ice Storm(Open in new window),4
Identify (Ritual)(Open in new window),1
Illusory Script (Ritual)(Open in new window),1
Immolation(Open in new window),5
Imprisonment(Open in new window),9
Incendiary Cloud(Open in new window),8
Investiture of Flame(Open in new window),6
Investiture of Ice(Open in new window),6
Investiture of Stone(Open in new window),6
Investiture of Wind(Open in new window),6
Invisibility(Open in new window),2
Jump(Open in new window),1
Knock(Open in new window),2
Legend Lore(Open in new window),5
Leomund’s Secret Chest(Open in new window),4
Leomund’s Tiny Hut (Ritual)(Open in new window),3
Levitate(Open in new window),2
Light(Open in new window),0
Lightning Bolt(Open in new window),3
Lightning Lure(Open in new window),0
Locate Creature(Open in new window),4
Locate Object(Open in new window),2
Longstrider(Open in new window),1
Mage Armor(Open in new window),1
Mage Hand(Open in new window),0
Magic Circle(Open in new window),3
Magic Jar(Open in new window),6
Magic Missile(Open in new window),1
Magic Mouth (Ritual)(Open in new window),2
Magic Weapon(Open in new window),2
Major Image(Open in new window),3
Mass Suggestion(Open in new window),6
Maximilian’s Earthen Grasp(Open in new window),2
Maze(Open in new window),8
Melf’s Acid Arrow(Open in new window),2
Melf’s Minute Meteors(Open in new window),3
Mending(Open in new window),0
Message(Open in new window),0
Meteor Swarm(Open in new window),9
Mind Blank(Open in new window),8
Minor Illusion(Open in new window),0
Mirage Arcane(Open in new window),7
Mirror Image(Open in new window),2
Mislead(Open in new window),5
Misty Step(Open in new window),2
Modify Memory(Open in new window),5
Mold earth(Open in new window),0
Mordenkainen’s Faithful Hound(Open in new window),4
Mordenkainen’s Magnificent Mansion(Open in new window),7
Mordenkainen’s Private Sanctum(Open in new window),4
Mordenkainen’s Sword(Open in new window),7
Move Earth(Open in new window),6
Nondetection(Open in new window),3
Nystul’s Magic Aura(Open in new window),2
Otiluke’s Freezing Sphere(Open in new window),6
Otiluke’s Resilient Sphere(Open in new window),4
Otto’s Irresistible Dance(Open in new window),6
Passwall(Open in new window),5
Phantasmal Force(Open in new window),2
Phantasmal Killer(Open in new window),4
Phantom Steed (Ritual)(Open in new window),3
Planar Binding(Open in new window),5
Plane Shift(Open in new window),7
Poison Spray(Open in new window),0
Polymorph(Open in new window),4
Power Word Kill(Open in new window),9
Power Word Stun(Open in new window),8
Prestidigitation(Open in new window),0
Prismatic Spray(Open in new window),7
Prismatic Wall(Open in new window),9
Programmed Illusion(Open in new window),6
Project Image(Open in new window),7
Protection from Energy(Open in new window),3
Protection from Evil and Good(Open in new window),1
Pyrotechnics(Open in new window),2
Rary’s Telepathic Bond (Ritual)(Open in new window),5
Ray of Enfeeblement(Open in new window),2
Ray of Frost(Open in new window),0
Ray of Sickness(Open in new window),1
Remove Curse(Open in new window),3
Reverse Gravity(Open in new window),7
Rope Trick(Open in new window),2
Scorching Ray(Open in new window),2
Scrying(Open in new window),5
See invisibility(Open in new window),2
Seeming(Open in new window),5
Sending(Open in new window),3
Sequester(Open in new window),7
Shape Water(Open in new window),0
Shapechange(Open in new window),9
Shatter(Open in new window),2
Shield(Open in new window),1
Shocking Grasp(Open in new window),0
Silent Image(Open in new window),1
Simulacrum(Open in new window),7
Skywrite (Ritual)(Open in new window),2
Sleep(Open in new window),1
Sleet Storm(Open in new window),3
Slow(Open in new window),3
Snilloc’s Snowball Swarm(Open in new window),2
Spider Climb(Open in new window),2
Stinking Cloud(Open in new window),3
Stone Shape(Open in new window),4
Stoneskin(Open in new window),4
Storm Sphere(Open in new window),4
Suggestion(Open in new window),2
Sunbeam(Open in new window),6
Sunburst(Open in new window),8
Sword Burst(Open in new window),0
Symbol(Open in new window),7
Tasha’s Hideous Laughter(Open in new window),1
Telekinesis(Open in new window),5
Telepathy(Open in new window),8
Teleport(Open in new window),7
Teleportation Circle(Open in new window),5
Tenser’s Floating Disk (Ritual)(Open in new window),1
Thunderclap(Open in new window),0
Thunderwave(Open in new window),1
Tidal Wave(Open in new window),3
Time Stop(Open in new window),9
Tongues(Open in new window),3
Transmute Rock(Open in new window),5
True Polymorph(Open in new window),9
True Seeing(Open in new window),6
True Strike(Open in new window),0
Unseen Servant (Ritual)(Open in new window),1
Vampiric Touch(Open in new window),3
Vitriolic Sphere(Open in new window),4
Wall of Fire(Open in new window),4
Wall of Force(Open in new window),5
Wall of Ice(Open in new window),6
Wall of Sand(Open in new window),3
Wall of Stone(Open in new window),5
Wall of Water(Open in new window),3
Water Breathing (Ritual)(Open in new window),3
Watery Sphere(Open in new window),4
Web(Open in new window),2
Weird(Open in new window),9
Whirlwind(Open in new window),7
Wish(Open in new window),9
Witch Bolt(Open in new window),1
